  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   44.0000   13.0000   -5.00    0.13    5.81
   44.0000   12.5000   -5.00    0.12    5.81
   44.0000   12.0000   -5.00    3.00    6.37
   44.0000   11.5000   -5.00   -0.64    5.73
   44.5000   14.5000   -5.00    0.66    5.88
   44.5000   14.0000   -5.00    0.31    5.84
   44.5000   13.5000   -5.00   -0.03    5.80
   44.5000   13.0000   -5.00    0.09    5.81
   44.5000   12.5000   -5.00    1.29    5.95
   44.5000   12.0000   -5.00    0.56    5.87
   44.5000   11.5000   -5.00    1.47    5.97
   45.0000   13.5000   -5.00   -0.16    5.78
   45.0000   13.0000   -5.00   -0.01    5.80
   45.0000   12.5000   -5.00    1.40    5.96
   45.0000   12.0000   -5.00   -0.88    5.70
   45.0000   11.5000   -5.00    0.49    5.86
   45.5000   13.5000   -5.00   -0.33    5.76
   45.5000   12.0000   -5.00    0.31    5.84
   46.0000   13.5000   -5.00   -0.03    5.80
   46.0000   12.0000   -5.00   -0.11    5.79
   39.5000   15.0000  -10.00   -0.43    5.75
   39.5000   14.5000  -10.00    0.04    5.81
   39.5000   14.0000  -10.00    0.15    5.82
   39.5000   13.5000  -10.00   -0.80    5.71
   39.5000   13.0000  -10.00   -0.30    5.77
   39.5000   12.5000  -10.00    0.00    5.80
   39.5000   12.0000  -10.00    0.01    5.80
   40.0000   16.0000  -10.00   -0.00    5.80
   40.0000   15.5000  -10.00   -0.04    5.80
   40.0000   15.0000  -10.00   -0.46    5.75
   40.0000   14.5000  -10.00   -0.83    5.70
   40.0000   14.0000  -10.00    0.84    5.90
   40.0000   13.5000  -10.00    0.61    5.87
   40.0000   13.0000  -10.00    0.22    5.83
   40.0000   12.5000  -10.00   -1.14    5.67
   40.0000   12.0000  -10.00   -1.78    5.60
   40.0000   11.5000  -10.00   -0.03    5.80
   40.0000   11.0000  -10.00   -0.21    5.78
   40.0000   10.5000  -10.00   -1.22    5.66
   40.0000   10.0000  -10.00    0.19    5.82
   40.0000    9.5000  -10.00    0.62    5.87
   40.0000    9.0000  -10.00    0.25    5.83
   40.5000   16.5000  -10.00    0.08    5.81
   40.5000   16.0000  -10.00   -0.01    5.80
   40.5000   14.5000  -10.00   -0.09    5.79
   40.5000   14.0000  -10.00    0.46    5.85
   40.5000   13.5000  -10.00    0.52    5.86
   40.5000   13.0000  -10.00   -1.03    5.68
   40.5000   12.5000  -10.00    3.00    6.49
   40.5000   12.0000  -10.00    3.00    6.35
   40.5000   11.5000  -10.00   -0.53    5.74
   40.5000   11.0000  -10.00   -0.11    5.79
   40.5000   10.5000  -10.00    0.48    5.86
   40.5000   10.0000  -10.00    2.46    6.09
   40.5000    9.5000  -10.00    0.54    5.86
   41.0000   16.5000  -10.00    1.86    6.02
   41.0000   16.0000  -10.00   -0.03    5.80
   41.0000   13.5000  -10.00    0.53    5.86
   41.0000   13.0000  -10.00    1.41    5.97
   41.0000   12.5000  -10.00    3.00    6.30
   41.0000   12.0000  -10.00    3.00    6.26
   41.0000   11.5000  -10.00    0.51    5.86
   41.0000   11.0000  -10.00    0.60    5.87
   41.0000   10.5000  -10.00    0.96    5.91
   41.0000   10.0000  -10.00    0.48    5.86
   41.5000   16.0000  -10.00    0.23    5.83
   41.5000   15.5000  -10.00   -0.15    5.78
   41.5000   15.0000  -10.00    1.32    5.96
   41.5000   14.5000  -10.00    1.48    5.97
   41.5000   14.0000  -10.00   -0.77    5.71
   41.5000   13.5000  -10.00    1.79    6.01
   41.5000   13.0000  -10.00   -1.43    5.64
   41.5000   12.5000  -10.00   -0.35    5.76
   41.5000   12.0000  -10.00    0.44    5.85
   41.5000   11.5000  -10.00    1.00    5.92
   41.5000   11.0000  -10.00    0.84    5.90
   41.5000   10.5000  -10.00    0.22    5.83
   42.0000   16.0000  -10.00   -0.55    5.74
   42.0000   15.5000  -10.00    2.07    6.05
   42.0000   15.0000  -10.00    3.00    6.47
   42.0000   14.5000  -10.00    2.30    6.07
   42.0000   14.0000  -10.00    1.48    5.97
   42.0000   13.5000  -10.00    0.65    5.88
   42.0000   13.0000  -10.00   -3.00    5.46
   42.0000   12.5000  -10.00   -0.57    5.73
   42.0000   12.0000  -10.00    0.22    5.83
   42.0000   11.5000  -10.00    0.90    5.91
   42.0000   11.0000  -10.00    0.34    5.84
   42.5000   15.0000  -10.00    2.89    6.15
   42.5000   14.5000  -10.00   -0.97    5.69
   42.5000   14.0000  -10.00    0.09    5.81
   42.5000   13.5000  -10.00   -0.09    5.79
   42.5000   12.0000  -10.00   -0.05    5.79
   42.5000   11.5000  -10.00    1.43    5.97
   42.5000   11.0000  -10.00    0.04    5.80
   42.5000    9.5000  -10.00    0.01    5.80
   43.0000   15.5000  -10.00    0.30    5.83
   43.0000   13.5000  -10.00   -0.47    5.75
   43.0000   12.0000  -10.00    3.00    6.49
   43.0000   11.5000  -10.00    3.00    6.49
   43.0000   11.0000  -10.00    0.04    5.80
   43.0000   10.5000  -10.00   -0.61    5.73
   43.0000   10.0000  -10.00   -0.45    5.75
   43.0000    9.5000  -10.00    0.10    5.81
   43.5000   15.5000  -10.00    0.23    5.83
   43.5000   15.0000  -10.00    0.42    5.85
   43.5000   13.5000  -10.00   -0.13    5.78
   43.5000   12.0000  -10.00    3.00    6.30
   43.5000   11.5000  -10.00   -0.54    5.74
   43.5000   10.0000  -10.00   -0.52    5.74
   43.5000    9.5000  -10.00    0.01    5.80
   44.0000   15.5000  -10.00    0.01    5.80
   44.0000   15.0000  -10.00    2.82    6.14
   44.0000   14.5000  -10.00    1.47    5.97
   44.0000   14.0000  -10.00   -0.76    5.71
   44.0000   13.5000  -10.00   -0.05    5.79
   44.0000   13.0000  -10.00   -0.21    5.78
   44.0000   12.5000  -10.00    3.00    6.22
   44.0000   12.0000  -10.00    3.00    6.49
   44.0000   11.5000  -10.00    1.31    5.95
   44.5000   14.5000  -10.00   -1.46    5.63
   44.5000   14.0000  -10.00    0.38    5.84
   44.5000   13.5000  -10.00    0.02    5.80
   44.5000   13.0000  -10.00   -0.18    5.78
   44.5000   12.5000  -10.00    3.00    6.20
   44.5000   12.0000  -10.00    3.00    6.30
   44.5000   11.5000  -10.00    0.91    5.91
   45.0000   13.5000  -10.00   -0.20    5.78
   45.0000   13.0000  -10.00   -0.33    5.76
   45.0000   12.5000  -10.00    0.32    5.84
   45.0000   12.0000  -10.00   -0.06    5.79
   45.0000   11.5000  -10.00   -0.47    5.75
   45.5000   13.5000  -10.00   -0.48    5.74
   45.5000   12.0000  -10.00    1.30    5.95
   46.0000   13.5000  -10.00   -0.05    5.79
   46.0000   12.0000  -10.00    2.29    6.07
   46.0000   11.5000  -10.00   -0.17    5.78
   46.5000   12.0000  -10.00   -0.38    5.76
   46.5000   11.5000  -10.00   -0.05    5.79
   40.0000   14.0000  -15.00    0.35    5.84
   40.0000   12.5000  -15.00   -0.58    5.73
   40.0000   12.0000  -15.00   -0.51    5.74
   40.5000   14.0000  -15.00    0.35    5.84
   40.5000   13.5000  -15.00    0.12    5.81
   40.5000   13.0000  -15.00    1.06    5.92
   40.5000   12.5000  -15.00    3.00    6.32
   40.5000   12.0000  -15.00    0.81    5.90
   40.5000   11.5000  -15.00   -0.05    5.79
   40.5000   11.0000  -15.00    0.02    5.80
   41.0000   13.5000  -15.00    0.16    5.82
   41.0000   13.0000  -15.00    0.18    5.82
   41.0000   12.5000  -15.00    0.54    5.86
   41.0000   12.0000  -15.00    0.03    5.80
   41.0000   11.5000  -15.00   -0.02    5.80
   41.0000   11.0000  -15.00    0.31    5.84
   41.5000   13.0000  -15.00    0.12    5.81
   41.5000   12.5000  -15.00   -0.23    5.77
   41.5000   12.0000  -15.00   -0.29    5.77
   41.5000   11.5000  -15.00    0.04    5.80
   42.0000   14.0000  -15.00   -0.01    5.80
   42.0000   13.5000  -15.00    0.30    5.83
   42.0000   13.0000  -15.00    0.08    5.81
   42.0000   12.5000  -15.00   -0.01    5.80
   42.0000   12.0000  -15.00    0.20    5.82
   42.0000   11.5000  -15.00    1.09    5.93
   42.5000   14.0000  -15.00   -0.02    5.80
   42.5000   11.5000  -15.00    0.04    5.80
   43.0000   13.5000  -15.00   -0.07    5.79
   43.0000   11.5000  -15.00    0.86    5.90
   43.0000    9.5000  -15.00    0.37    5.84
   43.5000   15.5000  -15.00   -0.33    5.76
   43.5000   13.5000  -15.00   -0.07    5.79
   43.5000   12.0000  -15.00    1.63    5.99
   43.5000   11.5000  -15.00    0.51    5.86
   43.5000    9.5000  -15.00    0.40    5.85
   44.0000   15.5000  -15.00   -0.04    5.80
   44.0000   15.0000  -15.00    0.13    5.81
   44.0000   14.5000  -15.00   -0.26    5.77
   44.0000   14.0000  -15.00   -0.65    5.72
   44.0000   13.5000  -15.00   -0.29    5.77
   44.0000   13.0000  -15.00   -0.25    5.77
   44.0000   12.5000  -15.00    0.16    5.82
   44.0000   12.0000  -15.00   -3.00    5.32
   44.0000   11.5000  -15.00   -0.76    5.71
   44.5000   14.5000  -15.00   -0.78    5.71
   44.5000   14.0000  -15.00    0.21    5.82
   44.5000   13.5000  -15.00    0.04    5.81
   44.5000   13.0000  -15.00   -0.21    5.78
   44.5000   12.5000  -15.00   -0.12    5.79
   44.5000   12.0000  -15.00   -1.62    5.61
   44.5000   11.5000  -15.00   -0.20    5.78
   45.0000   13.5000  -15.00   -0.25    5.77
   45.0000   13.0000  -15.00   -0.34    5.76
   45.0000   12.5000  -15.00   -0.08    5.79
   45.0000   12.0000  -15.00   -0.66    5.72
   45.5000   13.5000  -15.00   -0.73    5.72
   45.5000   12.0000  -15.00    0.63    5.87
   46.0000   13.5000  -15.00   -0.14    5.78
   46.0000   12.0000  -15.00    3.00    6.19
   46.0000   11.5000  -15.00   -0.08    5.79
   46.5000   12.0000  -15.00    0.37    5.84
   46.5000   11.5000  -15.00   -0.03    5.80
   38.5000    9.0000  -20.00   -0.55    6.43
   38.5000    8.5000  -20.00    0.11    6.51
   38.5000    8.0000  -20.00   -0.51    6.43
   38.5000    7.5000  -20.00   -0.14    6.48
   39.0000   15.0000  -20.00   -0.20    6.47
   39.0000   14.5000  -20.00   -0.00    6.50
   39.0000   13.0000  -20.00    0.75    6.60
   39.0000   12.5000  -20.00    0.42    6.55
   39.0000   12.0000  -20.00   -0.27    6.46
   39.0000   11.5000  -20.00    0.42    6.56
   39.0000   11.0000  -20.00    0.38    6.55
   39.0000    9.0000  -20.00    0.03    6.50
   39.0000    8.5000  -20.00   -0.12    6.48
   39.0000    8.0000  -20.00   -0.63    6.42
   39.0000    7.5000  -20.00   -0.15    6.48
   39.5000   15.0000  -20.00    1.49    6.70
   39.5000   14.5000  -20.00    1.20    6.66
   39.5000   14.0000  -20.00   -0.80    6.40
   39.5000   13.5000  -20.00    0.00    6.50
   39.5000   13.0000  -20.00    1.20    6.66
   39.5000   12.5000  -20.00    2.02    6.77
   39.5000   12.0000  -20.00    0.82    6.61
   39.5000   11.5000  -20.00   -0.84    6.39
   39.5000   11.0000  -20.00   -0.70    6.41
   39.5000   10.5000  -20.00    0.09    6.51
   39.5000   10.0000  -20.00   -0.06    6.49
   39.5000    9.5000  -20.00   -0.55    6.43
   39.5000    9.0000  -20.00    0.74    6.60
   39.5000    8.5000  -20.00    0.67    6.59
   40.0000   16.0000  -20.00   -0.09    6.49
   40.0000   14.5000  -20.00    1.42    6.69
   40.0000   14.0000  -20.00    1.24    6.66
   40.0000   13.5000  -20.00    0.66    6.59
   40.0000   13.0000  -20.00    0.02    6.50
   40.0000   12.5000  -20.00   -0.25    6.47
   40.0000   12.0000  -20.00   -1.24    6.34
   40.0000   11.5000  -20.00    0.32    6.54
   40.0000   11.0000  -20.00   -0.59    6.42
   40.0000   10.5000  -20.00   -0.18    6.48
   40.0000   10.0000  -20.00    0.06    6.51
   40.0000    9.5000  -20.00    0.63    6.58
   40.0000    9.0000  -20.00    0.51    6.57
   40.5000   16.5000  -20.00   -0.60    6.42
   40.5000   16.0000  -20.00   -0.35    6.46
   40.5000   14.0000  -20.00    2.00    6.77
   40.5000   13.5000  -20.00    1.18    6.66
   40.5000   13.0000  -20.00   -1.20    6.35
   40.5000   12.5000  -20.00    3.00    7.21
   40.5000   12.0000  -20.00    1.73    6.73
   40.5000   11.5000  -20.00    1.95    6.76
   40.5000   11.0000  -20.00    1.24    6.66
   40.5000   10.5000  -20.00    1.89    6.75
   40.5000   10.0000  -20.00    3.00    6.96
   40.5000    9.5000  -20.00    1.30    6.67
   40.5000    9.0000  -20.00   -0.47    6.44
   41.0000   16.5000  -20.00    3.00    6.92
   41.0000   16.0000  -20.00    0.96    6.63
   41.0000   13.5000  -20.00    1.45    6.69
   41.0000   13.0000  -20.00    3.00    6.91
   41.0000   12.5000  -20.00    2.24    6.80
   41.0000   12.0000  -20.00    0.70    6.59
   41.0000   11.5000  -20.00    1.60    6.71
   41.0000   11.0000  -20.00    2.34    6.81
   41.0000   10.5000  -20.00    2.65    6.85
   41.0000   10.0000  -20.00    0.56    6.57
   41.0000    9.5000  -20.00    1.37    6.68
   41.0000    9.0000  -20.00    0.31    6.54
   41.5000   16.5000  -20.00    1.76    6.73
   41.5000   16.0000  -20.00    0.66    6.59
   41.5000   15.5000  -20.00   -1.22    6.34
   41.5000   15.0000  -20.00    1.30    6.67
   41.5000   14.5000  -20.00    0.70    6.59
   41.5000   14.0000  -20.00   -0.85    6.39
   41.5000   13.5000  -20.00    3.00    7.11
   41.5000   13.0000  -20.00   -1.09    6.36
   41.5000   12.5000  -20.00    0.69    6.59
   41.5000   12.0000  -20.00    3.00    6.99
   41.5000   11.5000  -20.00    3.00    6.99
   41.5000   11.0000  -20.00    2.38    6.82
   41.5000   10.5000  -20.00    0.60    6.58
   41.5000   10.0000  -20.00   -0.05    6.49
   41.5000    9.5000  -20.00    0.13    6.52
   42.0000   16.5000  -20.00    3.00    7.05
   42.0000   16.0000  -20.00   -0.08    6.49
   42.0000   15.5000  -20.00    0.12    6.52
   42.0000   15.0000  -20.00    3.00    7.21
   42.0000   14.5000  -20.00    3.00    6.91
   42.0000   14.0000  -20.00    2.10    6.78
   42.0000   13.5000  -20.00    3.00    7.16
   42.0000   13.0000  -20.00   -3.00    6.06
   42.0000   12.5000  -20.00    0.45    6.56
   42.0000   12.0000  -20.00    2.55    6.84
   42.0000   11.5000  -20.00    3.00    7.00
   42.0000   11.0000  -20.00    0.75    6.60
   42.0000    9.5000  -20.00   -0.44    6.44
   42.5000   16.5000  -20.00    0.58    6.58
   42.5000   15.0000  -20.00    3.00    7.09
   42.5000   14.5000  -20.00   -3.00    6.06
   42.5000   14.0000  -20.00   -0.42    6.45
   42.5000   13.5000  -20.00   -0.64    6.42
   42.5000   12.0000  -20.00    1.52    6.70
   42.5000   11.5000  -20.00    3.00    6.96
   42.5000   11.0000  -20.00    2.52    6.84
   42.5000   10.5000  -20.00   -0.03    6.50
   42.5000   10.0000  -20.00    0.30    6.54
   42.5000    9.5000  -20.00    0.06    6.51
   43.0000   16.5000  -20.00   -0.13    6.48
   43.0000   16.0000  -20.00    0.88    6.62
   43.0000   15.5000  -20.00    1.19    6.66
   43.0000   15.0000  -20.00   -0.06    6.49
   43.0000   14.5000  -20.00   -0.41    6.45
   43.0000   14.0000  -20.00   -2.91    6.13
   43.0000   13.5000  -20.00   -1.85    6.26
   43.0000   12.0000  -20.00    3.00    7.11
   43.0000   11.5000  -20.00    3.00    7.16
   43.0000   11.0000  -20.00    1.86    6.75
   43.0000   10.5000  -20.00   -1.46    6.31
   43.0000   10.0000  -20.00    3.00    6.93
   43.0000    9.5000  -20.00    0.33    6.54
   43.5000   16.5000  -20.00   -0.45    6.44
   43.5000   16.0000  -20.00    1.72    6.73
   43.5000   15.5000  -20.00   -3.00    6.04
   43.5000   15.0000  -20.00    0.55    6.57
   43.5000   14.5000  -20.00    0.15    6.52
   43.5000   14.0000  -20.00   -2.05    6.24
   43.5000   13.5000  -20.00   -0.92    6.38
   43.5000   13.0000  -20.00   -1.17    6.35
   43.5000   12.5000  -20.00   -2.71    6.16
   43.5000   12.0000  -20.00    3.00    7.21
   43.5000   11.5000  -20.00    0.91    6.62
   43.5000   11.0000  -20.00    0.14    6.52
   43.5000   10.5000  -20.00   -0.37    6.45
   43.5000   10.0000  -20.00    1.49    6.70
   43.5000    9.5000  -20.00    0.06    6.51
   44.0000   16.5000  -20.00   -0.37    6.45
