  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   44.0000   13.5000   -5.00   -2.84    5.47
   44.0000   13.0000   -5.00    2.95    6.15
   44.0000   12.5000   -5.00   -2.77    5.48
   44.0000   12.0000   -5.00    3.00    6.58
   44.0000   11.5000   -5.00   -3.00    5.43
   44.5000   14.5000   -5.00    3.00    6.23
   44.5000   14.0000   -5.00   -2.54    5.51
   44.5000   13.5000   -5.00    3.00    6.18
   44.5000   13.0000   -5.00   -2.87    5.47
   44.5000   12.5000   -5.00    3.00    6.41
   44.5000   12.0000   -5.00   -1.06    5.68
   44.5000   11.5000   -5.00    3.00    6.24
   45.0000   13.5000   -5.00   -3.00    5.45
   45.0000   13.0000   -5.00    2.95    6.15
   45.0000   12.5000   -5.00   -0.78    5.71
   45.0000   12.0000   -5.00    2.56    6.10
   45.0000   11.5000   -5.00   -2.60    5.50
   45.5000   13.5000   -5.00    2.96    6.15
   45.5000   12.0000   -5.00   -2.62    5.50
   46.0000   13.5000   -5.00   -2.99    5.46
   46.0000   12.0000   -5.00    2.85    6.14
   39.5000   15.0000  -10.00    2.82    6.13
   39.5000   14.5000  -10.00   -3.00    5.46
   39.5000   14.0000  -10.00    3.00    6.16
   39.5000   13.5000  -10.00   -3.00    5.42
   39.5000   13.0000  -10.00    2.76    6.12
   39.5000   12.5000  -10.00   -3.00    5.46
   39.5000   12.0000  -10.00    3.00    6.15
   40.0000   16.0000  -10.00   -3.00    5.46
   40.0000   15.5000  -10.00    2.98    6.15
   40.0000   15.0000  -10.00   -3.00    5.43
   40.0000   14.5000  -10.00    2.25    6.06
   40.0000   14.0000  -10.00   -2.05    5.56
   40.0000   13.5000  -10.00    3.00    6.24
   40.0000   13.0000  -10.00   -2.57    5.50
   40.0000   12.5000  -10.00    2.16    6.05
   40.0000   12.0000  -10.00   -3.00    5.38
   40.0000   11.5000  -10.00    2.97    6.15
   40.0000   11.0000  -10.00   -3.00    5.45
   40.0000   10.5000  -10.00    1.80    6.01
   40.0000   10.0000  -10.00   -2.83    5.48
   40.0000    9.5000  -10.00    3.00    6.19
   40.0000    9.0000  -10.00   -2.66    5.49
   40.5000   16.5000  -10.00   -2.91    5.47
   40.5000   16.0000  -10.00    2.99    6.15
   40.5000   14.5000  -10.00   -3.00    5.45
   40.5000   14.0000  -10.00    3.00    6.18
   40.5000   13.5000  -10.00   -2.32    5.53
   40.5000   13.0000  -10.00    2.02    6.04
   40.5000   12.5000  -10.00   -3.00    6.12
   40.5000   12.0000  -10.00    3.00    6.67
   40.5000   11.5000  -10.00   -3.00    5.42
   40.5000   11.0000  -10.00    2.90    6.14
   40.5000   10.5000  -10.00   -2.44    5.52
   40.5000   10.0000  -10.00    3.00    6.31
   40.5000    9.5000  -10.00   -2.48    5.52
   41.0000   16.5000  -10.00    3.00    6.27
   41.0000   16.0000  -10.00   -3.00    5.46
   41.0000   13.5000  -10.00    3.00    6.20
   41.0000   13.0000  -10.00   -1.42    5.63
   41.0000   12.5000  -10.00    3.00    6.47
   41.0000   12.0000  -10.00   -2.19    5.93
   41.0000   11.5000  -10.00    3.00    6.18
   41.0000   11.0000  -10.00   -2.37    5.53
   41.0000   10.5000  -10.00    3.00    6.22
   41.0000   10.0000  -10.00   -2.49    5.51
   41.5000   16.0000  -10.00    3.00    6.15
   41.5000   15.5000  -10.00   -3.00    5.45
   41.5000   15.0000  -10.00    3.00    6.24
   41.5000   14.5000  -10.00   -1.53    5.62
   41.5000   14.0000  -10.00    2.22    6.06
   41.5000   13.5000  -10.00   -1.14    5.67
   41.5000   13.0000  -10.00    1.65    5.99
   41.5000   12.5000  -10.00   -3.00    5.44
   41.5000   12.0000  -10.00    3.00    6.19
   41.5000   11.5000  -10.00   -1.40    5.64
   41.5000   11.0000  -10.00    3.00    6.21
   41.5000   10.5000  -10.00   -2.74    5.49
   42.0000   16.0000  -10.00   -3.00    5.44
   42.0000   15.5000  -10.00    3.00    6.28
   42.0000   15.0000  -10.00   -3.00    6.10
   42.0000   14.5000  -10.00    3.00    6.28
   42.0000   14.0000  -10.00   -1.42    5.64
   42.0000   13.5000  -10.00    3.00    6.21
   42.0000   13.0000  -10.00   -3.00    5.29
   42.0000   12.5000  -10.00    2.41    6.08
   42.0000   12.0000  -10.00   -1.76    5.60
   42.0000   11.5000  -10.00    3.00    6.31
   42.0000   11.0000  -10.00   -2.63    5.50
   42.5000   15.0000  -10.00    3.00    6.34
   42.5000   14.5000  -10.00   -3.00    5.40
   42.5000   14.0000  -10.00    3.00    6.16
   42.5000   13.5000  -10.00   -3.00    5.45
   42.5000   12.0000  -10.00    3.00    6.18
   42.5000   11.5000  -10.00   -0.74    5.71
   42.5000   11.0000  -10.00    3.00    6.16
   42.5000    9.5000  -10.00   -2.98    5.46
   43.0000   15.5000  -10.00    3.00    6.17
   43.0000   13.5000  -10.00    2.56    6.10
   43.0000   12.0000  -10.00   -3.00    6.12
   43.0000   11.5000  -10.00    3.00    6.67
   43.0000   11.0000  -10.00   -2.95    5.46
   43.0000   10.5000  -10.00    2.42    6.08
   43.0000   10.0000  -10.00   -3.00    5.44
   43.0000    9.5000  -10.00    3.00    6.16
   43.5000   15.5000  -10.00   -2.81    5.48
   43.5000   15.0000  -10.00    3.00    6.18
   43.5000   13.5000  -10.00   -3.00    5.45
   43.5000   12.0000  -10.00    3.00    6.65
   43.5000   11.5000  -10.00   -2.67    5.49
   43.5000   10.0000  -10.00    2.48    6.09
   43.5000    9.5000  -10.00   -2.99    5.46
   44.0000   15.5000  -10.00    3.00    6.17
   44.0000   15.0000  -10.00   -0.58    5.83
   44.0000   14.5000  -10.00    3.00    6.26
   44.0000   14.0000  -10.00   -3.00    5.45
   44.0000   13.5000  -10.00    3.00    6.16
   44.0000   13.0000  -10.00   -3.00    5.45
   44.0000   12.5000  -10.00    3.00    6.37
   44.0000   12.0000  -10.00   -3.00    6.12
   44.0000   11.5000  -10.00    3.00    6.27
   44.5000   14.5000  -10.00   -3.00    5.39
   44.5000   14.0000  -10.00    3.00    6.20
   44.5000   13.5000  -10.00   -2.45    5.52
   44.5000   13.0000  -10.00    2.82    6.13
   44.5000   12.5000  -10.00   -1.63    5.90
   44.5000   12.0000  -10.00    3.00    6.59
   44.5000   11.5000  -10.00   -2.05    5.56
   45.0000   13.5000  -10.00    2.94    6.15
   45.0000   13.0000  -10.00   -3.00    5.44
   45.0000   12.5000  -10.00    3.00    6.17
   45.0000   12.0000  -10.00   -2.97    5.46
   45.0000   11.5000  -10.00    2.55    6.10
   45.5000   13.5000  -10.00   -3.00    5.46
   45.5000   12.0000  -10.00    3.00    6.24
   46.0000   13.5000  -10.00    3.00    6.16
   46.0000   12.0000  -10.00   -0.99    5.68
   46.0000   11.5000  -10.00    2.83    6.13
   46.5000   12.0000  -10.00    2.62    6.11
   46.5000   11.5000  -10.00   -3.00    5.45
   40.0000   14.0000  -15.00    3.00    6.17
   40.0000   12.5000  -15.00   -3.00    5.43
   40.0000   12.0000  -15.00    2.50    6.09
   40.5000   14.0000  -15.00   -2.66    5.49
   40.5000   13.5000  -15.00    3.00    6.16
   40.5000   13.0000  -15.00   -2.06    5.56
   40.5000   12.5000  -15.00    3.00    6.52
   40.5000   12.0000  -15.00   -2.18    5.55
   40.5000   11.5000  -15.00    2.96    6.15
   40.5000   11.0000  -15.00   -2.98    5.46
   41.0000   13.5000  -15.00   -2.81    5.48
   41.0000   13.0000  -15.00    3.00    6.16
   41.0000   12.5000  -15.00   -2.41    5.52
   41.0000   12.0000  -15.00    3.00    6.16
   41.0000   11.5000  -15.00   -2.98    5.46
   41.0000   11.0000  -15.00    3.00    6.17
   41.5000   13.0000  -15.00   -2.89    5.47
   41.5000   12.5000  -15.00    2.80    6.13
   41.5000   12.0000  -15.00   -3.00    5.44
   41.5000   11.5000  -15.00    3.00    6.16
   42.0000   14.0000  -15.00    2.99    6.15
   42.0000   13.5000  -15.00   -2.72    5.49
   42.0000   13.0000  -15.00    3.00    6.16
   42.0000   12.5000  -15.00   -3.00    5.46
   42.0000   12.0000  -15.00    3.00    6.16
   42.0000   11.5000  -15.00   -2.11    5.56
   42.5000   14.0000  -15.00   -3.00    5.46
   42.5000   11.5000  -15.00    3.00    6.17
   43.0000   13.5000  -15.00   -3.00    5.45
   43.0000   11.5000  -15.00   -1.91    5.58
   43.0000    9.5000  -15.00   -2.60    5.50
   43.5000   15.5000  -15.00    2.77    6.13
   43.5000   13.5000  -15.00    2.98    6.15
   43.5000   12.0000  -15.00   -1.08    5.67
   43.5000   11.5000  -15.00    3.00    6.18
   43.5000    9.5000  -15.00    3.00    6.18
   44.0000   15.5000  -15.00   -2.83    5.48
   44.0000   15.0000  -15.00    3.00    6.17
   44.0000   14.5000  -15.00   -3.00    5.45
   44.0000   14.0000  -15.00    2.58    6.10
   44.0000   13.5000  -15.00   -3.00    5.45
   44.0000   13.0000  -15.00    2.82    6.13
   44.0000   12.5000  -15.00   -2.59    5.50
   44.0000   12.0000  -15.00    2.31    5.67
   44.0000   11.5000  -15.00   -3.00    5.42
   44.5000   14.5000  -15.00    2.36    6.08
   44.5000   14.0000  -15.00   -2.37    5.53
   44.5000   13.5000  -15.00    3.00    6.17
   44.5000   13.0000  -15.00   -3.00    5.45
   44.5000   12.5000  -15.00    2.86    6.14
   44.5000   12.0000  -15.00   -3.00    5.37
   44.5000   11.5000  -15.00    2.80    6.13
   45.0000   13.5000  -15.00   -3.00    5.45
   45.0000   13.0000  -15.00    2.63    6.11
   45.0000   12.5000  -15.00   -3.00    5.44
   45.0000   12.0000  -15.00    2.27    6.07
   45.5000   13.5000  -15.00    2.68    6.11
   45.5000   12.0000  -15.00   -2.35    5.53
   46.0000   13.5000  -15.00   -3.00    5.46
   46.0000   12.0000  -15.00    3.00    6.38
   46.0000   11.5000  -15.00   -3.00    5.45
   46.5000   12.0000  -15.00   -2.57    5.51
   46.5000   11.5000  -15.00    2.98    6.15
   38.5000    9.0000  -20.00    2.71    6.86
   38.5000    8.5000  -20.00   -2.89    6.13
   38.5000    8.0000  -20.00    2.56    6.84
   38.5000    7.5000  -20.00   -3.00    6.10
   39.0000   15.0000  -20.00   -3.00    6.11
   39.0000   14.5000  -20.00    2.98    6.89
   39.0000   13.0000  -20.00   -2.43    6.19
   39.0000   12.5000  -20.00    3.00    6.91
   39.0000   12.0000  -20.00   -3.00    6.11
   39.0000   11.5000  -20.00    3.00    6.92
   39.0000   11.0000  -20.00   -2.60    6.17
   39.0000    9.0000  -20.00   -3.00    6.10
   39.0000    8.5000  -20.00    3.00    6.90
   39.0000    8.0000  -20.00   -3.00    6.08
   39.0000    7.5000  -20.00    2.75    6.86
   39.5000   15.0000  -20.00    3.00    6.99
   39.5000   14.5000  -20.00   -1.90    6.25
   39.5000   14.0000  -20.00    2.28    6.80
   39.5000   13.5000  -20.00   -2.99    6.12
   39.5000   13.0000  -20.00    3.00    6.96
   39.5000   12.5000  -20.00   -1.33    6.33
   39.5000   12.0000  -20.00    3.00    6.94
   39.5000   11.5000  -20.00   -3.00    6.07
   39.5000   11.0000  -20.00    2.22    6.79
   39.5000   10.5000  -20.00   -2.94    6.12
   39.5000   10.0000  -20.00    2.89    6.88
   39.5000    9.5000  -20.00   -3.00    6.09
   39.5000    9.0000  -20.00    3.00    6.91
   39.5000    8.5000  -20.00   -2.41    6.19
   40.0000   16.0000  -20.00   -3.00    6.11
   40.0000   14.5000  -20.00    3.00    6.97
   40.0000   14.0000  -20.00   -1.75    6.27
   40.0000   13.5000  -20.00    3.00    6.94
   40.0000   13.0000  -20.00   -2.79    6.14
   40.0000   12.5000  -20.00    2.53    6.83
   40.0000   12.0000  -20.00   -3.00    6.04
   40.0000   11.5000  -20.00    2.98    6.89
   40.0000   11.0000  -20.00   -3.00    6.06
   40.0000   10.5000  -20.00    2.88    6.88
   40.0000   10.0000  -20.00   -2.95    6.12
   40.0000    9.5000  -20.00    3.00    6.94
   40.0000    9.0000  -20.00   -2.17    6.22
   40.5000   16.5000  -20.00   -3.00    6.08
   40.5000   16.0000  -20.00    2.65    6.85
   40.5000   14.0000  -20.00    3.00    7.03
   40.5000   13.5000  -20.00   -2.16    6.22
   40.5000   13.0000  -20.00    2.10    6.77
   40.5000   12.5000  -20.00   -3.00    6.77
   40.5000   12.0000  -20.00    3.00    7.00
   40.5000   11.5000  -20.00   -1.19    6.34
   40.5000   11.0000  -20.00    3.00    6.98
   40.5000   10.5000  -20.00   -1.17    6.35
   40.5000   10.0000  -20.00    3.00    7.14
   40.5000    9.5000  -20.00   -1.75    6.27
   40.5000    9.0000  -20.00    2.61    6.84
   41.0000   16.5000  -20.00    3.00    7.12
   41.0000   16.0000  -20.00   -1.80    6.27
   41.0000   13.5000  -20.00    3.00    6.98
   41.0000   13.0000  -20.00   -0.49    6.53
   41.0000   12.5000  -20.00    3.00    6.99
   41.0000   12.0000  -20.00   -1.97    6.24
   41.0000   11.5000  -20.00    3.00    7.01
   41.0000   11.0000  -20.00   -0.61    6.42
   41.0000   10.5000  -20.00    3.00    7.10
   41.0000   10.0000  -20.00   -2.46    6.18
   41.0000    9.5000  -20.00    3.00    7.00
