STN   LAT(DEG)  LON(DEG) ELV(KM)  N90 N180 N270 N360 NARV  AV90 AV180 AV270 AV360  AVRC  AVRR COUNTRY, CITY
FRSS   16.7383   42.1152   0.066    0   26   16    1   43  0.00 -2.07 -1.52 -0.41 -1.83 -1.80 Saudi-Arabia, Farasan                   
FRSS2  16.8520   41.7940   0.045    0    4    1    0    5  0.00 -2.22  1.70  0.00 -1.44 -1.30 Saudi-Arabia, Sair                      
FURI    8.8967   38.6783   2.560  102    1    1    0  104 -0.62 -2.14  0.24  0.00 -0.62 -0.13 Ethiopia, Furi                          
GASE   11.6813   38.9211   2.972    8    0    0    0    8 -0.93  0.00  0.00  0.00 -0.93 -1.02 Ethiopia, Gashen                        
GBR    11.1520   42.4630   0.625   77    3    6   43  129 -1.30 -1.69 -1.77 -0.76 -1.15 -1.34 Djibouti, Grand-Bara                    
GBRA   11.1520   42.4600   0.615    0    0    0    2    2  0.00  0.00  0.00 -1.52 -1.52 -1.75 Djibouti, Afar,                         
GEWE   10.0045   40.5739   0.572    6    0    0    5   11 -1.43  0.00  0.00 -1.11 -1.28 -1.35 Ethiopia, Ethiopia-Afar                 
HAJJ   15.6990   43.5990   1.650    1  190  214    6  411 -0.67 -0.24 -0.66 -1.26 -0.47 -0.05 Yemen, Hajjah                           
HARA    9.2858   43.2782   1.905    1    0    0    3    4  1.97  0.00  0.00 -1.16 -0.38  0.18 Ethiopia, HARA                          
HLD    11.5965   42.4323  -0.075   21    4    1   12   38 -1.34 -0.84 -1.70 -0.70 -1.10 -1.20 Djibouti, Halaksitan                    
HNSH   13.6935   42.7147   0.080    0    5    1    0    6  0.00  1.34  1.80  0.00  1.42 -0.58 Yemen, Hunish                           
HYNE    9.3148   42.0962   1.982    1    0    0    4    5 -3.48  0.00  0.00 -2.41 -2.63 -2.34 Ethiopia, Hara                          
I19DJ  11.4740   43.1731   0.021    4    0    1    2    7 -0.67  0.00 -1.24 -2.36 -1.24 -1.50 Djibouti, I19DJ                         
IGRE   12.2526   40.4612   0.668    0    8    0    0    8  0.00 -1.45  0.00  0.00 -1.45 -1.16 Ethiopia, AFAR0911                      
INEE    9.8954   39.1431   2.686    2    0    0    0    2  1.00  0.00  0.00  0.00  1.00 -0.90 Ethiopia, Ethiopia-Afar                 
JIZN   16.9590   42.8250   0.100    0    1    1    0    2  0.00  0.62 -3.25  0.00 -1.32 -0.70 Saudi-Arabia, Jizan                     
KAMRY  15.3327   42.6158   0.023    0    0    2    0    2  0.00  0.00  1.24  0.00  1.24  1.40 Yemen, Kamaran                          
KARAX  10.4224   39.9348   1.753    0    0    0    2    2  0.00  0.00  0.00 -0.02 -0.02 -1.65 Ethiopia, Ethiopian                     
KOBE   12.1506   39.6298   1.508    7    2    0    0    9 -1.27 -1.71  0.00  0.00 -1.37 -1.64 Ethiopia, Kobo                          
KORE   10.4265   39.9344   1.774    8    0    0    0    8 -1.57  0.00  0.00  0.00 -1.57 -1.60 Ethiopia, Kare                          
KOZE   12.4948   40.9850   0.541    0   33    1    0   34  0.00 -0.74 -2.53  0.00 -0.79 -0.79 Ethiopia, AFAR0911                      
KSDD   11.5349   42.4453   0.378    0    0    0    4    4  0.00  0.00  0.00 -1.81 -1.81 -1.97 Djibouti, Koussour                      
KSU    11.5335   42.4463   0.370   20    6    1   20   47 -1.45 -1.38 -1.34 -1.02 -1.26 -1.13 Djibouti, Koussour                      
LALE   12.0258   39.0375   2.422   11    3    0    0   14 -0.66 -3.00  0.00  0.00 -1.16 -1.52 Ethiopia, Lalibel                       
LARD   11.5787   42.5066   0.100    1    0    0    5    6 -1.14  0.00  0.00 -1.52 -1.46 -1.60 Djibouti, Lac                           
LBOS   13.8710   45.2490   2.325    1   41  356   36  434  0.96  0.01 -0.12  0.12 -0.09 -0.48 Yemen, 13.87100                         
LDLD   11.5837   42.4985   0.137    9    4    3   16   32 -0.74 -0.94 -1.72 -1.12 -1.05 -1.27 Djibouti, Lac                           
LULE   11.9892   40.7037   0.611   10   17    0    0   27 -1.07  0.05  0.00  0.00 -0.37 -0.27 Ethiopia, AFAR0911                      
LYDE   12.0545   41.9257   0.435    3    4    0    4   11 -0.02 -0.04  0.00 -1.05 -0.40 -1.29 Ethiopia, Elidar                        
MAOD   12.0944   42.2253   0.329    2   16    3   17   38 -1.63 -1.17 -2.20 -1.63 -1.48 -1.80 Djibouti, Malaho                        
MARB   15.4640   45.3200   1.120    0    1    9    0   10  0.00  1.14 -0.73  0.00 -0.54 -0.26 Yemen, Ma'rib                           
MAYE   12.7832   39.5343   2.440    4   41    0    0   45 -1.09 -1.14  0.00  0.00 -1.13 -0.87 Ethiopia, Mayche                        
MCAD   11.7303   43.2120   0.004   20    4    6   15   45 -0.52 -0.29 -0.82 -0.38 -0.49 -0.70 Djibouti, Moucha                        
MIEE    9.2416   40.7581   1.349    1    0    0    1    2 -1.03  0.00  0.00 -1.26 -1.14 -1.15 Ethiopia, Ethiopia-Afar                 
MILE   11.4238   40.7650   0.489    9    0    4    7   20 -1.86  0.00 -0.89 -1.88 -1.67 -1.85 Ethiopia, Mille                         
MISE    9.2369   40.7591   1.310    4    0    0    5    9 -2.66  0.00  0.00 -1.40 -1.96 -1.56 Ethiopia, Meis                          
MKL    11.7123   43.1498   0.005   10    0    4   13   27 -0.91  0.00 -1.28 -0.70 -0.86 -0.93 Djibouti, Maskali                       
OBO    11.9853   43.2917   0.040   27   32   24   44  127 -1.13 -0.76 -0.84 -1.02 -0.94 -0.99 Djibouti, Obock                         
ODK    11.5932   42.4901   0.100    0    0    0    2    2  0.00  0.00  0.00 -1.86 -1.86 -2.25 Djibouti, Oud                           
